product_type,product_subtype,price,material,brand,competitor_name,product_description,feature,original_site
Apparel,Bottoms,27.00,cotton,Napapijri,Napapijri Usa,"Designed for busy lifestyles, the Abbe Short Sleeve T-Shirt embodies Napapijri's outdoor spirit and urban style. This versatile tee features an oversized fit and a unique graphic print, making it perfect for everyday adventures. Crafted from pure cotton, it offers comfort and durability for those who embrace an active lifestyle.",,https://napapijri.com
Apparel,Bottoms,27.00,cotton,Napapijri,Napapijri Usa,"Designed for busy lifestyles, the Abbe Short Sleeve T-Shirt embodies Napapijri's outdoor spirit and urban style. This versatile tee features an oversized fit and a unique graphic print, making it perfect for everyday adventures. Crafted from pure cotton, it offers comfort and durability for those who embrace an active lifestyle.",,https://napapijri.com
Other,Hoodies,36.00,cotton,Napapijri,Napapijri Usa,"Featuring retro-style graphics, the Adige hoodie for kids is designed for comfort thanks to a loose fit, a roomy hood and a cosy cotton blend fabric.",hood,https://napapijri.com
Other,Hoodies,36.00,cotton,Napapijri,Napapijri Usa,"Featuring retro-style graphics, the Adige hoodie for kids is designed for comfort thanks to a loose fit, a roomy hood and a cosy cotton blend fabric.",hood,https://napapijri.com
Apparel,Bottoms,15.00,cotton,Napapijri,Napapijri Usa,"Featuring retro-style graphics, the Adige jersey short sleeve t-shirt for kids is made of soft and breathable 100% cotton for everyday comfort.",breathable,https://napapijri.com
Apparel,Bottoms,15.00,cotton,Napapijri,Napapijri Usa,"Featuring retro-style graphics, the Adige jersey short sleeve t-shirt for kids is made of soft and breathable 100% cotton for everyday comfort.",breathable,https://napapijri.com
Apparel,Jacket,100.80,Ripstop,Napapijri,Napapijri Usa,"Made of water-resistant ripstop fabric, the Adir Short Jacket is designed for versatility and comfort. It features a regular fit, a practical zip closure and signature patches that embody Napapijri's spirit of exploration.",,https://napapijri.com
Apparel,Jacket,100.80,Ripstop,Napapijri,Napapijri Usa,"Made of water-resistant ripstop fabric, the Adir Short Jacket is designed for versatility and comfort. It features a regular fit, a practical zip closure and signature patches that embody Napapijri's spirit of exploration.",,https://napapijri.com
Apparel,Jacket,100.80,Ripstop,Napapijri,Napapijri Usa,"Made of water-resistant ripstop fabric, the Adir Short Jacket is designed for versatility and comfort. It features a regular fit, a practical zip closure and signature patches that embody Napapijri's spirit of exploration.",,https://napapijri.com
Apparel,Jacket,100.80,Ripstop,Napapijri,Napapijri Usa,"Made of water-resistant ripstop fabric, the Adir Short Jacket is designed for versatility and comfort. It features a regular fit, a practical zip closure and signature patches that embody Napapijri's spirit of exploration.",,https://napapijri.com
Other,Chinos,70.00,,Napapijri,Napapijri Usa,"Finished with a washed-out denim effect, the Agord regular jeans for women have a loose leg and slightly flared hem for a more contemporary fit. They feature a functional waist belt for added comfort.",,https://napapijri.com
Other,Chinos,70.00,,Napapijri,Napapijri Usa,"Finished with a washed-out denim effect, the Agord regular jeans for women have a loose leg and slightly flared hem for a more contemporary fit. They feature a functional waist belt for added comfort.",,https://napapijri.com
Apparel,Bottoms,12.00,cotton,Napapijri,Napapijri Usa,"Crafted of soft, breathable cotton, the Ahr jersey short sleeve t-shirt for kids is a long-lasting everyday essential with short sleeves, a crew neck and signature graphics on the front and back.",breathable,https://napapijri.com
Other,Sweatshirts,35.00,"cotton, polyester",Napapijri,Napapijri Usa,"The Ahr sweatshirt for kids is a wardrobe essential with a crew neck, a vertical Napapijri logo on the back and ribbing on the cuffs, collar and hem. It's warm and breathable thanks to a fabric blend of cotton and polyester.",breathable,https://napapijri.com
Other,Sweatshirts,35.00,"cotton, polyester",Napapijri,Napapijri Usa,"The Ahr sweatshirt for kids is a wardrobe essential with a crew neck, a vertical Napapijri logo on the back and ribbing on the cuffs, collar and hem. It's warm and breathable thanks to a fabric blend of cotton and polyester.",breathable,https://napapijri.com
Apparel,Bottoms,27.50,cotton,Napapijri,Napapijri Usa,"Blending Napapijri's outdoor heritage and urban style, the Alaric Cargo Trousers feature cargo pockets for extra storage and an adjustable waistband for a personalised fit. Made from 100% cotton, they offer comfort and durability for everyday adventures, making them perfect for urban settings and outdoor lifestyles.",,https://napapijri.com
Apparel,Bottoms,27.50,cotton,Napapijri,Napapijri Usa,"Blending Napapijri's outdoor heritage and urban style, the Alaric Cargo Trousers feature cargo pockets for extra storage and an adjustable waistband for a personalised fit. Made from 100% cotton, they offer comfort and durability for everyday adventures, making them perfect for urban settings and outdoor lifestyles.",,https://napapijri.com
Apparel,Bottoms,27.50,cotton,Napapijri,Napapijri Usa,"Blending Napapijri's outdoor heritage and urban style, the Alaric Cargo Trousers feature cargo pockets for extra storage and an adjustable waistband for a personalised fit. Made from 100% cotton, they offer comfort and durability for everyday adventures, making them perfect for urban settings and outdoor lifestyles.",,https://napapijri.com
Other,Hoodies,30.00,,Napapijri,Napapijri Usa,"Blending outdoor heritage with urban flair, the Albedo French Terry Hoodie showcases the brand's signature outdoorsy spirit. This versatile piece features a kangaroo pocket and ribbed cuffs, offering both style and functionality. French terry fabric makes it a comfortable and durable choice for casual everyday settings.",hood,https://napapijri.com
Other,Hoodies,30.00,,Napapijri,Napapijri Usa,"Blending outdoor heritage with urban flair, the Albedo French Terry Hoodie showcases the brand's signature outdoorsy spirit. This versatile piece features a kangaroo pocket and ribbed cuffs, offering both style and functionality. French terry fabric makes it a comfortable and durable choice for casual everyday settings.",hood,https://napapijri.com
Other,Hoodies,30.00,,Napapijri,Napapijri Usa,"Blending outdoor heritage with urban flair, the Albedo French Terry Hoodie showcases the brand's signature outdoorsy spirit. This versatile piece features a kangaroo pocket and ribbed cuffs, offering both style and functionality. French terry fabric makes it a comfortable and durable choice for casual everyday settings.",hood,https://napapijri.com
Apparel,Bottoms,17.50,cotton,Napapijri,Napapijri Usa,"Engineered for active lifestyles, the Albedo short sleeve t-shirt embodies the brand's outdoor heritage and urban flair. This versatile tee features a classic crew neck and a loose fit, making it ideal for casual outings. The soft, durable cotton fabrication combines practicality and longevity with a laid-back aesthetic for any adventure.",,https://napapijri.com
Apparel,Bottoms,17.50,cotton,Napapijri,Napapijri Usa,"Engineered for active lifestyles, the Albedo short sleeve t-shirt embodies the brand's outdoor heritage and urban flair. This versatile tee features a classic crew neck and a loose fit, making it ideal for casual outings. The soft, durable cotton fabrication combines practicality and longevity with a laid-back aesthetic for any adventure.",,https://napapijri.com
Apparel,Bottoms,17.50,cotton,Napapijri,Napapijri Usa,"Engineered for active lifestyles, the Albedo short sleeve t-shirt embodies the brand's outdoor heritage and urban flair. This versatile tee features a classic crew neck and a loose fit, making it ideal for casual outings. The soft, durable cotton fabrication combines practicality and longevity with a laid-back aesthetic for any adventure.",,https://napapijri.com
Apparel,Bottoms,17.50,cotton,Napapijri,Napapijri Usa,"Engineered for active lifestyles, the Albedo short sleeve t-shirt embodies the brand's outdoor heritage and urban flair. This versatile tee features a classic crew neck and a loose fit, making it ideal for casual outings. The soft, durable cotton fabrication combines practicality and longevity with a laid-back aesthetic for any adventure.",,https://napapijri.com
Apparel,Bottoms,17.50,cotton,Napapijri,Napapijri Usa,"Engineered for active lifestyles, the Albedo short sleeve t-shirt embodies the brand's outdoor heritage and urban flair. This versatile tee features a classic crew neck and a loose fit, making it ideal for casual outings. The soft, durable cotton fabrication combines practicality and longevity with a laid-back aesthetic for any adventure.",,https://napapijri.com
Apparel,Jacket,100.00,"Ripstop, recycled",Napapijri,Napapijri Usa,"Water-resistant and breathable, the Allori medium jacket for kids is engineered for wet and windy weather. It's made of lightweight recycled ripstop fabric and has a front zip fastening, practical hood and the signature Napapijri Geographic print on the chest.","breathable, lightweight, recycled, hood",https://napapijri.com
Apparel,Jacket,100.00,"Ripstop, recycled",Napapijri,Napapijri Usa,"Water-resistant and breathable, the Allori medium jacket for kids is engineered for wet and windy weather. It's made of lightweight recycled ripstop fabric and has a front zip fastening, practical hood and the signature Napapijri Geographic print on the chest.","breathable, lightweight, recycled, hood",https://napapijri.com
Apparel,Jacket,50.00,"Ripstop, recycled",Napapijri,Napapijri Usa,"Water-resistant and breathable, the Allori medium jacket for kids is engineered for wet and windy weather. It's made of lightweight recycled ripstop fabric and has a front zip fastening, practical hood and the signature Napapijri Geographic print on the chest.","breathable, lightweight, recycled, hood",https://napapijri.com
Apparel,Jacket,122.50,"Ripstop, down",Napapijri,Napapijri Usa,"Responsibly filled with Thermore EVOdown® padding that's as warm and cosy as down, the Amiata short jacket is a quilted puffer made of durable ripstop fabric. It has outer pockets and distinctive orange detailing on the zip placket.",,https://napapijri.com
Apparel,Jacket,105.00,"Ripstop, down",Napapijri,Napapijri Usa,"Responsibly filled with Thermore EVOdown® padding that's as warm and cosy as down, the Amiata short jacket is a quilted puffer made of durable ripstop fabric. It has outer pockets and distinctive orange detailing on the zip placket.",,https://napapijri.com
Apparel,Jacket,105.00,"Ripstop, down",Napapijri,Napapijri Usa,"Responsibly filled with Thermore EVOdown® padding that's as warm and cosy as down, the Amiata short jacket is a quilted puffer made of durable ripstop fabric. It has outer pockets and distinctive orange detailing on the zip placket.",,https://napapijri.com
Apparel,Jacket,105.00,"Ripstop, down",Napapijri,Napapijri Usa,"Responsibly filled with Thermore EVOdown® padding that's as warm and cosy as down, the Amiata short jacket is a quilted puffer made of durable ripstop fabric. It has outer pockets and distinctive orange detailing on the zip placket.",,https://napapijri.com
Apparel,Jacket,105.00,"Ripstop, down",Napapijri,Napapijri Usa,"Responsibly filled with Thermore EVOdown® padding that's as warm and cosy as down, the Amiata short jacket is a quilted puffer made of durable ripstop fabric. It has outer pockets and distinctive orange detailing on the zip placket.",,https://napapijri.com
Apparel,Jacket,98.00,"Ripstop, down",Napapijri,Napapijri Usa,"Responsibly filled with Thermore EVOdown® padding that's as warm and cosy as down, the Amiata vest is a quilted puffer made of durable ripstop fabric. It has outer pockets, the Bollo badge and distinctive orange detailing on the zip placket.",,https://napapijri.com
Apparel,Jacket,98.00,"Ripstop, down",Napapijri,Napapijri Usa,"Responsibly filled with Thermore EVOdown® padding that's as warm and cosy as down, the Amiata vest is a quilted puffer made of durable ripstop fabric. It has outer pockets, the Bollo badge and distinctive orange detailing on the zip placket.",,https://napapijri.com
Apparel,Jacket,98.00,"Ripstop, down",Napapijri,Napapijri Usa,"Responsibly filled with Thermore EVOdown® padding that's as warm and cosy as down, the Amiata vest is a quilted puffer made of durable ripstop fabric. It has outer pockets, the Bollo badge and distinctive orange detailing on the zip placket.",,https://napapijri.com
