source,market,keyword,signal_name,signal_type,product_name,brand,price,rank,url,observed_at
open_meteo,CH,temperature anomaly,Zürich: 34.0°C vs 23.3°C avg (10.7°C anomaly),api,N/A,N/A,N/A,10.7,https://open-meteo.com/en/docs?latitude=47.3769&longitude=8.5417,2026-06-19T13:10:42Z
open_meteo,CH,temperature anomaly,St. Moritz: 20.6°C vs 13.4°C avg (7.2°C anomaly),api,N/A,N/A,N/A,7.2,https://open-meteo.com/en/docs?latitude=46.4908&longitude=9.8355,2026-06-19T13:10:44Z
open_meteo,CH,temperature anomaly,Zermatt: 24.2°C vs 14.5°C avg (9.7°C anomaly),api,N/A,N/A,N/A,9.7,https://open-meteo.com/en/docs?latitude=46.0207&longitude=7.7491,2026-06-19T13:10:46Z
open_meteo_uv_aqi,CH,uv and air quality,"UV index 6.6, European AQI None",api,N/A,N/A,N/A,6.6,https://open-meteo.com/en/docs?latitude=47.3769&longitude=8.5417,2026-06-19T13:10:47Z
nager_date,CH,public holiday,Upcoming holiday: Peter und Paul (2026-06-29),api,N/A,N/A,N/A,N/A,https://date.nager.at/,2026-06-19T13:10:47Z
nager_date,CH,public holiday,Upcoming holiday: Bundesfeier (2026-08-01),api,N/A,N/A,N/A,N/A,https://date.nager.at/,2026-06-19T13:10:47Z
nager_date,CH,public holiday,Upcoming holiday: Maria Himmelfahrt (2026-08-15),api,N/A,N/A,N/A,N/A,https://date.nager.at/,2026-06-19T13:10:47Z
nager_date,CH,public holiday,Upcoming holiday: Maria Himmelfahrt (2026-08-15),api,N/A,N/A,N/A,N/A,https://date.nager.at/,2026-06-19T13:10:47Z
nager_date,CH,public holiday,Upcoming holiday: Jeûne genevois (2026-09-10),api,N/A,N/A,N/A,N/A,https://date.nager.at/,2026-06-19T13:10:47Z
exchangerate_host,CH,currency rates,FX context (CHF base): ,api,N/A,N/A,N/A,N/A,https://exchangerate.host/,2026-06-19T13:10:47Z
gearjunkie_rss,US,Swiss outdoor publication,Lightweight and Extremely Affordable: Malone LiftLine Compact Ski and Snowboard Carrier Review,web,N/A,N/A,N/A,N/A,https://gearjunkie.com/winter/skiing/malone-liftline-compact-ski-snowboard-rack-review,2026-06-19T13:10:47Z
gearjunkie_rss,US,Swiss outdoor publication,The 7 Best Hut-to-Hut Hikes Around the World,web,N/A,N/A,N/A,N/A,https://gearjunkie.com/outdoor/7-best-hut-to-hut-hikes-around-world,2026-06-19T13:10:47Z
gearjunkie_rss,US,Swiss outdoor publication,The Only Women’s Outdoor Pants I Wear: prAna Halle Pants Review,web,N/A,N/A,N/A,N/A,https://gearjunkie.com/apparel/prana-halle-pants-review,2026-06-19T13:10:47Z
gearjunkie_rss,US,Swiss outdoor publication,‘Pool Diver’ Watch Is a Beach Bum in All the Best Ways,web,N/A,N/A,N/A,N/A,https://gearjunkie.com/technology/christopher-ward-pool-diver-watch,2026-06-19T13:10:47Z
gearjunkie_rss,US,Swiss outdoor publication,"Save Big on YETI, HOKA, Traeger, and More",web,N/A,N/A,N/A,N/A,https://gearjunkie.com/deals/weekly-deals-6-18-26,2026-06-19T13:10:47Z
gearjunkie_rss,US,Swiss outdoor publication,GoPro MISSION 1: A New Generation of Compact Camera,web,N/A,N/A,N/A,N/A,https://gearjunkie.com/technology/gopro-mission-1-new-generation-compact-camera,2026-06-19T13:10:47Z
gearjunkie_rss,US,Swiss outdoor publication,Strava Data Shows Mountain Lions Take ‘Proactive Steps’ to Avoid People,web,N/A,N/A,N/A,N/A,https://gearjunkie.com/outdoor/strava-data-mountain-lions-avoid-people,2026-06-19T13:10:47Z
gearjunkie_rss,US,Swiss outdoor publication,Chaos Meets Craft: GiantMouse Knives Teams Up With ‘Jackass’ Star for Latest EDC,web,N/A,N/A,N/A,N/A,https://gearjunkie.com/knives/giantmouse-knives-teams-up-with-chris-pontius,2026-06-19T13:10:47Z
outside_online_rss,US,Swiss outdoor publication,"Yes, You Should Put Bug Spray on Your Dog—But the Wrong Kind Can Be Deadly",web,N/A,N/A,N/A,N/A,https://www.outsideonline.com/outdoor-adventure/environment/safe-bug-spray-for-dogs/,2026-06-19T13:10:48Z
outside_online_rss,US,Swiss outdoor publication,Overland OGs Share Their Secrets to Thriving Off-Road,web,N/A,N/A,N/A,N/A,https://www.outsideonline.com/outdoor-gear/cars-trucks/overland-ogs-secrets/,2026-06-19T13:10:48Z
outside_online_rss,US,Swiss outdoor publication,"No Jet Ski, No Problem. What It’s Like to Paddle into a 70-Foot Wave.",web,N/A,N/A,N/A,N/A,https://www.outsideonline.com/outdoor-adventure/water-activities/tikanui-smith-surfing/,2026-06-19T13:10:48Z
outside_online_rss,US,Swiss outdoor publication,"The Best Budget, Mid-Priced, and Splurgy Backpacking Tents",web,N/A,N/A,N/A,N/A,https://www.outsideonline.com/outdoor-gear/camping/best-budget-mid-splurge-backpacking-tents/,2026-06-19T13:10:48Z
outside_online_rss,US,Swiss outdoor publication,The Poem That Awed the Outside Summit,web,N/A,N/A,N/A,N/A,https://www.outsideonline.com/culture/essays-culture/the-cathedral-poem-bobby-lefebre/,2026-06-19T13:10:48Z
outside_online_rss,US,Swiss outdoor publication,Celebrate the Rest of Pride Month with One of These Races,web,N/A,N/A,N/A,N/A,https://www.outsideonline.com/health/training-performance/pride-month-runs/,2026-06-19T13:10:48Z
outside_online_rss,US,Swiss outdoor publication,"After a String of Tragedies, Rescuers Issue a Stark Warning to Anyone Visiting California Beaches",web,N/A,N/A,N/A,N/A,https://www.outsideonline.com/outdoor-adventure/water-activities/california-historic-swell-ocean-safety-rescue/,2026-06-19T13:10:48Z
outside_online_rss,US,Swiss outdoor publication,So You Found a Tick on You. Here’s Exactly What to Do Next.,web,N/A,N/A,N/A,N/A,https://www.outsideonline.com/health/wellness/how-to-remove-a-tick/,2026-06-19T13:10:48Z
bergsteiger_rss_fallback_mock,CH,Swiss outdoor publication,Neue Touren im Berner Oberland,web,N/A,N/A,N/A,N/A,https://www.bergsteiger.de/,2026-06-19T13:10:49Z
bergsteiger_rss_fallback_mock,CH,Swiss outdoor publication,Ultralight Ausrüstung im Test,web,N/A,N/A,N/A,N/A,https://www.bergsteiger.de/,2026-06-19T13:10:49Z
