source,market,keyword,signal_name,signal_type,product_name,brand,price,rank,url,observed_at
google_trends_CH_momentum,CH,backpack,Search velocity (momentum) for 'backpack',search,N/A,N/A,N/A,-2.8,https://trends.google.com/trends/explore?q=backpack&geo=CH,2026-06-19T13:03:23Z
google_trends_CH_momentum,CH,kiprun,Search velocity (momentum) for 'kiprun',search,N/A,N/A,N/A,1.0,https://trends.google.com/trends/explore?q=kiprun&geo=CH,2026-06-19T13:03:23Z
google_trends_CH_momentum,CH,shoes,Search velocity (momentum) for 'shoes',search,N/A,N/A,N/A,-27.0,https://trends.google.com/trends/explore?q=shoes&geo=CH,2026-06-19T13:03:23Z
google_trends_CH_momentum,CH,Swiss outdoor publication,Search velocity (momentum) for 'Swiss outdoor publication',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=Swiss outdoor publication&geo=CH,2026-06-19T13:03:23Z
google_trends_JP_momentum,JP,backpack,Search velocity (momentum) for 'backpack',search,N/A,N/A,N/A,-20.8,https://trends.google.com/trends/explore?q=backpack&geo=JP,2026-06-19T13:03:23Z
google_trends_JP_momentum,JP,kiprun,Search velocity (momentum) for 'kiprun',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=kiprun&geo=JP,2026-06-19T13:03:23Z
google_trends_JP_momentum,JP,shoes,Search velocity (momentum) for 'shoes',search,N/A,N/A,N/A,-46.8,https://trends.google.com/trends/explore?q=shoes&geo=JP,2026-06-19T13:03:23Z
google_trends_JP_momentum,JP,Swiss outdoor publication,Search velocity (momentum) for 'Swiss outdoor publication',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=Swiss outdoor publication&geo=JP,2026-06-19T13:03:23Z
google_trends_US_momentum,US,backpack,Search velocity (momentum) for 'backpack',search,N/A,N/A,N/A,1.0,https://trends.google.com/trends/explore?q=backpack&geo=US,2026-06-19T13:03:23Z
google_trends_US_momentum,US,kiprun,Search velocity (momentum) for 'kiprun',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=kiprun&geo=US,2026-06-19T13:03:23Z
google_trends_US_momentum,US,shoes,Search velocity (momentum) for 'shoes',search,N/A,N/A,N/A,-4.0,https://trends.google.com/trends/explore?q=shoes&geo=US,2026-06-19T13:03:23Z
google_trends_US_momentum,US,Swiss outdoor publication,Search velocity (momentum) for 'Swiss outdoor publication',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=Swiss outdoor publication&geo=US,2026-06-19T13:03:23Z
google_trends_global_seasonal,global,backpack,Search velocity (seasonal) for 'backpack',search,N/A,N/A,N/A,20.1,https://trends.google.com/trends/explore?q=backpack&geo=,2026-06-19T13:03:23Z
google_trends_global_seasonal,global,kiprun,Search velocity (seasonal) for 'kiprun',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=kiprun&geo=,2026-06-19T13:03:23Z
google_trends_global_seasonal,global,shoes,Search velocity (seasonal) for 'shoes',search,N/A,N/A,N/A,22.3,https://trends.google.com/trends/explore?q=shoes&geo=,2026-06-19T13:03:23Z
google_trends_global_seasonal,global,Swiss outdoor publication,Search velocity (seasonal) for 'Swiss outdoor publication',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=Swiss outdoor publication&geo=,2026-06-19T13:03:23Z
google_trends_global_momentum,global,backpack,Search velocity (momentum) for 'backpack',search,N/A,N/A,N/A,-0.2,https://trends.google.com/trends/explore?q=backpack&geo=,2026-06-19T13:03:23Z
google_trends_global_momentum,global,kiprun,Search velocity (momentum) for 'kiprun',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=kiprun&geo=,2026-06-19T13:03:23Z
google_trends_global_momentum,global,shoes,Search velocity (momentum) for 'shoes',search,N/A,N/A,N/A,-8.5,https://trends.google.com/trends/explore?q=shoes&geo=,2026-06-19T13:03:23Z
google_trends_global_momentum,global,Swiss outdoor publication,Search velocity (momentum) for 'Swiss outdoor publication',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=Swiss outdoor publication&geo=,2026-06-19T13:03:23Z
google_trends_CH_seasonal,CH,gorpcore,Search velocity (seasonal) for 'gorpcore',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=gorpcore&geo=CH,2026-06-19T13:03:23Z
google_trends_CH_seasonal,CH,trail running packs,Search velocity (seasonal) for 'trail running packs',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=trail running packs&geo=CH,2026-06-19T13:03:23Z
google_trends_CH_seasonal,CH,fastpacking,Search velocity (seasonal) for 'fastpacking',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=fastpacking&geo=CH,2026-06-19T13:03:23Z
google_trends_CH_seasonal,CH,ultralight hiking,Search velocity (seasonal) for 'ultralight hiking',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=ultralight hiking&geo=CH,2026-06-19T13:03:23Z
google_trends_CH_seasonal,CH,running,Search velocity (seasonal) for 'running',search,N/A,N/A,N/A,11.3,https://trends.google.com/trends/explore?q=running&geo=CH,2026-06-19T13:03:23Z
google_trends_CH_momentum,CH,gorpcore,Search velocity (momentum) for 'gorpcore',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=gorpcore&geo=CH,2026-06-19T13:03:23Z
google_trends_CH_momentum,CH,trail running packs,Search velocity (momentum) for 'trail running packs',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=trail running packs&geo=CH,2026-06-19T13:03:23Z
google_trends_CH_momentum,CH,fastpacking,Search velocity (momentum) for 'fastpacking',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=fastpacking&geo=CH,2026-06-19T13:03:23Z
google_trends_CH_momentum,CH,ultralight hiking,Search velocity (momentum) for 'ultralight hiking',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=ultralight hiking&geo=CH,2026-06-19T13:03:23Z
google_trends_CH_momentum,CH,running,Search velocity (momentum) for 'running',search,N/A,N/A,N/A,-25.8,https://trends.google.com/trends/explore?q=running&geo=CH,2026-06-19T13:03:23Z
google_trends_JP_seasonal,JP,gorpcore,Search velocity (seasonal) for 'gorpcore',search,N/A,N/A,N/A,0.1,https://trends.google.com/trends/explore?q=gorpcore&geo=JP,2026-06-19T13:03:23Z
google_trends_JP_seasonal,JP,trail running packs,Search velocity (seasonal) for 'trail running packs',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=trail running packs&geo=JP,2026-06-19T13:03:23Z
google_trends_JP_seasonal,JP,fastpacking,Search velocity (seasonal) for 'fastpacking',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=fastpacking&geo=JP,2026-06-19T13:03:23Z
google_trends_JP_seasonal,JP,ultralight hiking,Search velocity (seasonal) for 'ultralight hiking',search,N/A,N/A,N/A,0.0,https://trends.google.com/trends/explore?q=ultralight hiking&geo=JP,2026-06-19T13:03:23Z
