source,market,keyword,signal_name,signal_type,product_name,brand,price,rank,url,observed_at
youtube,global,women's outdoor hiking Switzerland,Top video: '3 things I no longer bring on multi day hikes and what I bring instead (part 2)',social,N/A,Madison Clysdale,N/A,N/A,https://www.youtube.com/watch?v=qTASGK3Z4nU,2026-06-19T12:27:27Z
youtube,global,women's outdoor hiking Switzerland,Top video: 'my solo trip to the swiss alps',social,N/A,Brigette Laurie,N/A,N/A,https://www.youtube.com/watch?v=vZdYo_1Pwz8,2026-06-19T12:27:27Z
youtube,global,women's outdoor hiking Switzerland,"Top video: '5 Days in Switzerland 🇨🇭 | Exploring the Swiss Alps, Lakes &amp; Charming Towns'",social,N/A,Amy Natalie,N/A,N/A,https://www.youtube.com/watch?v=tgz_IQKBz4M,2026-06-19T12:27:27Z
youtube,global,women's outdoor hiking Switzerland,"Top video: 'the perfect switzerland trip *hikes, paddleboard, paraglide, and travel chaos'",social,N/A,Natalie Zacek,N/A,N/A,https://www.youtube.com/watch?v=aPiaIKTpHLs,2026-06-19T12:27:27Z
youtube,global,women's outdoor hiking Switzerland,Top video: 'Hiking Gear I Wish I Didn&#39;t Buy (&amp; What I Wish I Got Instead): Rain Jackets',social,N/A,Ground Up Adventures,N/A,N/A,https://www.youtube.com/watch?v=_4WrWHqrG90,2026-06-19T12:27:27Z
youtube,global,Swiss outdoor women apparel,Top video: 'Can These Pickleball Shoes Improve My Game? K-Swiss Supreme Shoe Review',social,N/A,Product Reviews & Demos,N/A,N/A,https://www.youtube.com/watch?v=pT1j9kJ58HM,2026-06-19T12:27:28Z
youtube,global,Swiss outdoor women apparel,Top video: 'Upgrade your #moonwatch #watchoftheday #swiss #watches #luxury #menswatch #watch #outdoors #canada',social,N/A,Island of Misfit Watches -,N/A,N/A,https://www.youtube.com/watch?v=l9WkOeQezFQ,2026-06-19T12:27:28Z
youtube,global,Swiss outdoor women apparel,Top video: 'COUTURE SPIRIT – Swiss Outdoor Runway Moment | High-Fashion Mini Dresses',social,N/A,GlamAura AI,N/A,N/A,https://www.youtube.com/watch?v=U3GG32GBEiA,2026-06-19T12:27:28Z
youtube,global,alpine women clothing,Top video: 'The ONE Big Mistake That&#39;s Making You Colder',social,N/A,MyLifeOutdoors,N/A,N/A,https://www.youtube.com/watch?v=-Ogv5_xT6S4,2026-06-19T12:27:28Z
youtube,global,alpine women clothing,Top video: 'Cute night wear haul❤️ #nightwear',social,N/A,Nivetha Vijayy,N/A,N/A,https://www.youtube.com/watch?v=XomG2lYhzOE,2026-06-19T12:27:28Z
youtube,global,alpine women clothing,Top video: '15 Different Types of Fabric | Different Types Of Fabric With Name | अलग अलग तरह के कपड़ों की जानकारी',social,N/A,Fashion NEXT,N/A,N/A,https://www.youtube.com/watch?v=8jrYY7lWQqY,2026-06-19T12:27:28Z
youtube,global,alpine women clothing,Top video: 'Maxi dresses I am obsessed with #shorts #youtube #dresses #maxidress #haul #winter #fashion #tryon',social,N/A,thatreview addict,N/A,N/A,https://www.youtube.com/watch?v=AhW-DJOK-Rs,2026-06-19T12:27:28Z
